company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
swedish orphan biovitrum ab,SOBI,Sweden,2023-05-09 00:00:00,1699756,Annual,15.e,Reelect Filippa Stenberg as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
swedish orphan biovitrum ab,SOBI,Sweden,2020-05-13 00:00:00,1417652,Annual,15.d,Reelect Lennart Johansson as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
swedish orphan biovitrum ab,SOBI,Sweden,2020-05-13 00:00:00,1417652,Annual,15.e,Reelect Helena Saxon as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2025-08-25 00:00:00,1979253,Annual,3,Reelect Mritunjay Kumar Singh as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2024-08-30 00:00:00,1872445,Annual,6,Approve Reappointment and Remuneration of Basudeo N. Singh as Executive Chairman,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2023-08-25 00:00:00,1761463,Annual,3,Reelect Mritunjay Kumar Singh as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2023-08-25 00:00:00,1761463,Annual,4,Reelect Sandeep Singh as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2023-08-25 00:00:00,1761463,Annual,5,Amend Articles of Association,Management,For,Against,,The right to vote on fundamental changes affecting the company is a basic right of shareholders. This includes the right to approve changes to the company’s governing documents.,,ESG_ambiguous,ESG_ambiguous
alkem laboratories ltd,539523,India,2023-01-05 00:00:00,1702990,Special,1,Approve Reappointment and Remuneration of Mritunjay Kumar Singh as Executive Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2022-08-25 00:00:00,1651977,Annual,5,Approve Reappointment and Remuneration of Sandeep Singh as Managing Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2021-08-27 00:00:00,1549508,Annual,3,Reelect Sandeep Singh as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2021-08-27 00:00:00,1549508,Annual,4,Reelect Mritunjay Kumar Singh as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
alkem laboratories ltd,539523,India,2020-04-04 00:00:00,1402262,Special,1,Approve Reappointment and Remuneration of Basudeo N. Singh as Executive Chairman,Shareholder,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
nextdc ltd,NXT,Australia,2025-11-13 00:00:00,2013924,Annual,1,Approve Remuneration Report,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
hyosung heavy industries corp,298040,South Korea,2025-03-20 00:00:00,1931736,Annual,2.1.1,Elect Cho Hyeon-jun as Inside Director,Management,For,Against,,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",,G,G
sectra ab,SECT.B,Sweden,2021-09-14 00:00:00,1569390,Annual,12.c,Reelect Torbjorn Kronander as Director,Management,For,Against,Position paper: Board diversity,Diversity contributes to the overall effectiveness of the board and is a sign of an effective nomination process. The board should ensure that it can bring a broad range of perspectives and approaches to its decision-making process. The board should have an appropriate balance of competencies and backgrounds.,S,,S
sectra ab,SECT.B,Sweden,2021-09-14 00:00:00,1569390,Annual,12.f,Reelect Jan-Olof Bruer as Director,Management,For,Against,Position paper: Board diversity,Diversity contributes to the overall effectiveness of the board and is a sign of an effective nomination process. The board should ensure that it can bring a broad range of perspectives and approaches to its decision-making process. The board should have an appropriate balance of competencies and backgrounds.,S,,S
sectra ab,SECT.B,Sweden,2021-09-14 00:00:00,1569390,Annual,13,Reappoint Jan-Olof Bruer as Board Chair,Management,For,Against,Position paper: Board diversity,Diversity contributes to the overall effectiveness of the board and is a sign of an effective nomination process. The board should ensure that it can bring a broad range of perspectives and approaches to its decision-making process. The board should have an appropriate balance of competencies and backgrounds.,S,,S
phison electronics corp,8299,Taiwan,2022-05-24 00:00:00,1615677,Annual,1,Approve Business Operations Report and Financial Statements,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2022-05-24 00:00:00,1615677,Annual,2,Approve Plan on Profit Distribution,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2022-05-24 00:00:00,1615677,Annual,4,Approve Issuance of Shares via a Private Placement,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2022-05-24 00:00:00,1615677,Annual,5,Approve Amendments to Articles of Association,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2022-05-24 00:00:00,1615677,Annual,6,Approve Amendments to Rules and Procedures Regarding Shareholder's General Meeting,Management,For,Abstain,,,,G,G
phison electronics corp,8299,Taiwan,2022-05-24 00:00:00,1615677,Annual,7,Approve Amendments to Procedures Governing the Acquisition or Disposal of Assets and Procedures for Lending Funds to Other Parties and Procedures for Endorsement and Guarantees,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2021-05-28 00:00:00,1514660,Annual,1,Approve Business Operations Report and Financial Statements,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2021-05-28 00:00:00,1514660,Annual,2,Approve Profit Distribution,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2021-05-28 00:00:00,1514660,Annual,3,Approve Issuance of Shares via a Private Placement,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2021-05-28 00:00:00,1514660,Annual,4,Approve Amendments to Articles of Association,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2021-05-28 00:00:00,1514660,Annual,5,Approve Amendment to Rules and Procedures for Election of Directors,Management,For,Abstain,,,,G,G
phison electronics corp,8299,Taiwan,2021-05-28 00:00:00,1514660,Annual,6,"Amend Procedures Governing the Acquisition or Disposal of Assets, Trading Procedures Governing Derivatives Products, Procedures for Lending Funds to Other Parties, and Procedures for Endorsement and Guarantees",Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2020-06-03 00:00:00,1408035,Annual,1,Approve Business Report and Financial Statements,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2020-06-03 00:00:00,1408035,Annual,2,Approve Plan on Profit Distribution,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2020-06-03 00:00:00,1408035,Annual,3.1,"Elect Khein Seng Pua, with Shareholder No. 2, as Non-Independent Director",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
phison electronics corp,8299,Taiwan,2020-06-03 00:00:00,1408035,Annual,4,Approve Issuance of Shares via a Private Placement,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2020-06-03 00:00:00,1408035,Annual,5,Approve Amendments to Articles of Association,Management,For,Abstain,,,,ESG_ambiguous,ESG_ambiguous
phison electronics corp,8299,Taiwan,2020-06-03 00:00:00,1408035,Annual,6,Approve Release of Restrictions of Competitive Activities of Newly Appointed Directors,Management,For,Abstain,,,,G,G
diasorin spa,DIA,Italy,2025-02-28 00:00:00,1924057,Extraordinary Shareholders,1,Allow Additional Voting Rights for Shares with Double Voting Rights,Management,For,Against,Position paper: Multiple share classes,"All shareholders should have the right to vote on fundamental corporate decisions, and voting rights should be proportionate to cash flow rights. Any unequal voting rights should be time-limited and aligned with cash flow rights over time.",G,,G
diasorin spa,DIA,Italy,2025-04-28 00:00:00,1917821,Annual,2.1,Approve Remuneration Policy,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
diasorin spa,DIA,Italy,2025-04-28 00:00:00,1917821,Annual,5,Approve Long-Term Incentive Plan,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
diasorin spa,DIA,Italy,2025-04-28 00:00:00,1917821,Annual,6,Approve Stock Option Plan,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
diasorin spa,DIA,Italy,2024-04-24 00:00:00,1816897,Annual,2.1,Approve Remuneration Policy,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
diasorin spa,DIA,Italy,2023-04-28 00:00:00,1703136,Annual,2.1,Approve Remuneration Policy,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
diasorin spa,DIA,Italy,2023-04-28 00:00:00,1703136,Annual,3,Approve Stock Option Plan,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
diasorin spa,DIA,Italy,2020-06-10 00:00:00,1393095,Annual,2.1,Approve Remuneration Policy,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
banco comercial portugues sa,BCP,Portugal,2022-05-04 00:00:00,1634788,Annual,8,Elect Corporate Bodies for 2022-2025 Term,Management,For,Against,Position paper: Board independence,"The board should guide company strategy and monitor management performance without conflicts of interest. A majority of shareholder-elected board members in a non-controlled company should be independent of management, dominant shareholders, and related third parties. In a majority-controlled company, at least a third of board members should be independent.",G,,G
banco comercial portugues sa,BCP,Portugal,2021-05-20 00:00:00,1495572,Annual,10,Maintain Voting Right Ceiling,Management,For,Against,Position paper: Multiple share classes,"All shareholders should have the right to vote on fundamental corporate decisions, and voting rights should be proportionate to cash flow rights. Any unequal voting rights should be time-limited and aligned with cash flow rights over time.",G,,G
skandinaviska enskilda banken ab,SEB.A,Sweden,2024-03-19 00:00:00,1822912,Annual,14a9,Reelect Helena Saxon as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
skandinaviska enskilda banken ab,SEB.A,Sweden,2024-03-19 00:00:00,1822912,Annual,14a11,Reelect Marcus Wallenberg as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
skandinaviska enskilda banken ab,SEB.A,Sweden,2024-03-19 00:00:00,1822912,Annual,14b,Reelect Marcus Wallenberg as Board Chair,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
skandinaviska enskilda banken ab,SEB.A,Sweden,2023-04-04 00:00:00,1717263,Annual,14.a8,Reelect Helena Saxon as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
skandinaviska enskilda banken ab,SEB.A,Sweden,2023-04-04 00:00:00,1717263,Annual,14.10,Elect Marcus Wallenberg as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
skandinaviska enskilda banken ab,SEB.A,Sweden,2023-04-04 00:00:00,1717263,Annual,14.b,Reelect Marcus Wallenberg as Board Chair,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
rotork plc,ROR,United Kingdom,2022-04-29 00:00:00,1614002,Annual,4,Re-elect Ann Andersen as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
nexans sa,NEX,France,2025-05-15 00:00:00,1949109,Annual/Special,5,Reelect Francisco Perez Mackenna as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
nexans sa,NEX,France,2021-05-12 00:00:00,1525222,Annual/Special,5,Reelect Andronico Luksic Craig as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
nexans sa,NEX,France,2020-05-13 00:00:00,1403222,Annual/Special,13,Approve Remuneration Policy of CEO,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
helvetia holding ag,HELN,Switzerland,2025-05-23 00:00:00,1966186,Extraordinary Shareholders,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
helvetia holding ag,HELN,Switzerland,2025-04-25 00:00:00,1899767,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
helvetia holding ag,HELN,Switzerland,2024-05-24 00:00:00,1812529,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
helvetia holding ag,HELN,Switzerland,2023-04-28 00:00:00,1707139,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
helvetia holding ag,HELN,Switzerland,2022-04-29 00:00:00,1590515,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
helvetia holding ag,HELN,Switzerland,2021-04-30 00:00:00,1496811,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
helvetia holding ag,HELN,Switzerland,2020-04-24 00:00:00,1382250,Annual,9,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
comerica inc,CMA,United States,2025-04-29 00:00:00,1941573,Annual,1.3,Elect Director Curtis C. Farmer,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
comerica inc,CMA,United States,2024-04-23 00:00:00,1832814,Annual,1.4,Elect Director Curtis C. Farmer,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
comerica inc,CMA,United States,2023-04-25 00:00:00,1727936,Annual,1.4,Elect Director Curtis C. Farmer,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
comerica inc,CMA,United States,2022-04-26 00:00:00,1620876,Annual,1.3,Elect Director Curtis C. Farmer,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
comerica inc,CMA,United States,2021-04-27 00:00:00,1517469,Annual,1.4,Elect Director Curtis C. Farmer,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
comerica inc,CMA,United States,2020-04-28 00:00:00,1408653,Annual,1.4,Elect Director Curtis C. Farmer,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cembra money bank ag,CMBN,Switzerland,2025-04-24 00:00:00,1913521,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
cembra money bank ag,CMBN,Switzerland,2024-04-24 00:00:00,1812215,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
cembra money bank ag,CMBN,Switzerland,2023-04-21 00:00:00,1706860,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
cembra money bank ag,CMBN,Switzerland,2022-04-21 00:00:00,1590466,Annual,7,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
cembra money bank ag,CMBN,Switzerland,2021-04-22 00:00:00,1496802,Annual,8,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
cembra money bank ag,CMBN,Switzerland,2020-04-16 00:00:00,1382091,Annual,7,Transact Other Business (Voting),Management,For,Against,,We will not support an agenda item if the information disclosed is insufficient to make an informed decision.,,G,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2024-03-27 00:00:00,1828537,Annual,5,Authorize Share Capital Increase without Preemptive Rights,Management,For,Against,Position paper: Shareholder rights in equity issuances,Existing shareholders should have the right to approve share issuances in order to prevent the dilution of ownership without their prior consent. Existing shareholders should have the right to participate pro rata to maintain their voting share and benefit from any discount offered. The approval for a general authority should be reasonably close in time to the intended capital allocation to allow for an informed voting decision.,G,,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2024-03-27 00:00:00,1828537,Annual,9,Elect Directors,Management,For,Against,Position paper: Board independence,"The board should guide company strategy and monitor management performance without conflicts of interest. A majority of shareholder-elected board members in a non-controlled company should be independent of management, dominant shareholders, and related third parties. In a majority-controlled company, at least a third of board members should be independent.",G,,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2022-03-31 00:00:00,1615408,Annual,4,Accept Financial Statements,Management,For,Against,,"The board should use the annual report to present a fair, sensible and clear assessment of the company. The report should be reflective of the prior year, and include material risk factors. We will consider whether any information available raises reasonable doubt about the financial statements. This includes any potential legal action, misstatements or goodwill write-offs, and substantial governance shortcomings.",,ESG_ambiguous,ESG_ambiguous
turkiye garanti bankasi as,GARAN.E,Türkiye,2022-03-31 00:00:00,1615408,Annual,5,Approve Discharge of Board,Management,For,Against,,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",,G,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2021-03-31 00:00:00,1511550,Annual,4,Accept Financial Statements,Management,For,Against,,"The board should use the annual report to present a fair, sensible and clear assessment of the company. The report should be reflective of the prior year, and include material risk factors. We will consider whether any information available raises reasonable doubt about the financial statements. This includes any potential legal action, misstatements or goodwill write-offs, and substantial governance shortcomings.",,ESG_ambiguous,ESG_ambiguous
turkiye garanti bankasi as,GARAN.E,Türkiye,2021-03-31 00:00:00,1511550,Annual,5,Approve Discharge of Board,Management,For,Against,,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",,G,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2021-03-31 00:00:00,1511550,Annual,7,Elect Directors,Management,For,Against,Position paper: Board independence,"The board should guide company strategy and monitor management performance without conflicts of interest. A majority of shareholder-elected board members in a non-controlled company should be independent of management, dominant shareholders, and related third parties. In a majority-controlled company, at least a third of board members should be independent.",G,,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2020-07-17 00:00:00,1401917,Annual,4,Accept Financial Statements,Management,For,Against,,"The board should use the annual report to present a fair, sensible and clear assessment of the company. The report should be reflective of the prior year, and include material risk factors. We will consider whether any information available raises reasonable doubt about the financial statements. This includes any potential legal action, misstatements or goodwill write-offs, and substantial governance shortcomings.",,ESG_ambiguous,ESG_ambiguous
turkiye garanti bankasi as,GARAN.E,Türkiye,2020-07-17 00:00:00,1401917,Annual,5,Amend Article 7 Re: Capital Related,Management,For,Against,Position paper: Shareholder rights in equity issuances,Existing shareholders should have the right to approve share issuances in order to prevent the dilution of ownership without their prior consent. Existing shareholders should have the right to participate pro rata to maintain their voting share and benefit from any discount offered. The approval for a general authority should be reasonably close in time to the intended capital allocation to allow for an informed voting decision.,G,,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2020-07-17 00:00:00,1401917,Annual,6,Approve Discharge of Board,Management,For,Against,,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",,G,G
turkiye garanti bankasi as,GARAN.E,Türkiye,2020-07-17 00:00:00,1401917,Annual,8,Ratify Director Appointment,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
invesco ltd,IVZ,Bermuda,2020-05-14 00:00:00,1411882,Annual,1.5,Elect Director Denis Kessler,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
